Time,Degree,Velocity
4870.38,23.76,-144.00
4875.56,23.04,-144.00
4880.76,22.08,-192.00
4885.92,21.36,-144.00
4891.08,20.40,-192.00
4896.23,19.68,-144.00
4902.27,18.72,-192.00
4907.92,17.76,-192.00
4913.45,16.80,-192.00
4918.98,15.84,-192.00
4924.60,14.88,-192.00
4930.12,13.92,-192.00
4935.64,12.72,-240.00
4941.15,11.76,-192.00
4946.67,10.80,-192.00
4952.19,9.60,-240.00
4957.70,8.64,-192.00
4963.20,7.68,-192.00
4968.71,6.48,-240.00
4974.22,5.52,-192.00
4979.73,4.32,-240.00
4985.24,3.36,-192.00
4990.70,2.16,-240.00
4996.16,1.20,-192.00
5001.63,0.00,-240.00
5007.09,-0.96,-192.00
5012.55,-2.16,-240.00
5018.01,-3.12,-192.00
5023.48,-4.08,-192.00
5028.94,-5.28,-240.00
5034.45,-6.24,-192.00
5039.92,-7.20,-192.00
5045.38,-8.40,-240.00
5050.84,-9.36,-192.00
5056.35,-10.32,-192.00
5061.81,-11.52,-240.00
5067.27,-12.48,-192.00
5072.73,-13.44,-192.00
5078.20,-14.40,-192.00
5083.67,-15.36,-192.00
5089.02,-16.56,-240.00
5094.19,-17.52,-192.00
5099.35,-18.24,-144.00
5104.52,-19.20,-192.00
5109.69,-20.16,-192.00
5114.85,-21.12,-192.00
5120.02,-22.08,-192.00
5125.18,-22.80,-144.00
5130.35,-23.76,-192.00
5135.52,-24.48,-144.00
5140.68,-25.44,-192.00
5145.85,-26.16,-144.00
5151.01,-27.12,-192.00
5156.16,-27.84,-144.00
